Product Name,Transaction Count,Rating Score,Rating Count,Product Score,Response Time,SLA,Price,Category,Delivery Mode,Delivery Time,Created On,Product Score Missing
身份实名认证-身份证实名认证-身份证实名-实名认证-身份证二要素-身份证实名认证-身份实名认证-身份证号码...,44734,5.0,1480.0,8.8,65.0,100.0,0.0,超优品,API,,2024-07-08,1
【数脉API】手机三要素-手机三要素-运营商实名认证-运营商三要素手机号校验查询-手机实名核验接口-手机号...,29192,4.99,959.0,8.2,97.0,100.0,0.0,"精选, 超优品",API,,2018-02-12,1
系统硬盘数据恢复 数据救援 格式化后数据恢复 删除delete数据库恢复 myd idb数据库文件恢复【君云 专注企业...,311,5.0,309.0,,,,8000.0,优品,人工服务,3.0,2020-01-06,0
消息推送（U-Push Pro）,86,4.88,28.0,,,,1350.0,,人工服务,365.0,,0
云·企业官网（SaaS系统）,6535,4.88,18236.0,,,,82.0,"精选, 优品",SaaS,,2018-06-11,0
Red Hat Enterprise Linux 8.8 64位,451,5.0,1.0,,,,70.0,优品,镜像,,2023-07-04,0
云专线（阿里云弗吉尼亚-AWS弗吉尼亚）,10,5.0,6.0,,,,5.55,,人工服务,14.0,2024-04-15,0
PolarDB PostgreSQL数据库,11,5.0,9.0,,,,5.0,优品,人工服务,7.0,2024-07-10,0
云·速成美站,11462,4.02,723.0,,,,42.0,"精选, 优品",SaaS,,2018-04-16,0
奇墨ITQM产品,44,5.0,1.0,,,,2980.0,,SaaS,,2024-08-02,0
通用物联网平台,28,4.94,17.0,,,,5.0,精选,人工服务,,2024-05-29,0
Web应用防火墙 WAF,10,5.0,1.0,,,,5.84,,人工服务,1.0,2024-11-18,0
数据中心云专线互联,18,5.0,18.0,,,,4000.0,,人工服务,30.0,2018-11-08,0
CnTrus SSL证书 ,88,4.96,59.0,,,,600.0,优品,人工服务,7.0,2024-01-29,0
Salesforce国际版订阅,89,5.0,4.0,,,,1.0,,人工服务,,2020-02-22,0
MaxKB 专业版,10,0.0,0.0,,,,2.0,,SaaS,,2024-08-22,0
Alluxio 企业版,10,5.0,1.0,,,,4.2,,人工服务,1.0,2024-11-04,0
Tuya物联网平台阿里云尊享版,25,0.0,0.0,,,,3142.0,精选,SaaS,,2024-09-02,0
教育培训官网/知识付费/内部培训/限时抢购/优惠券 网站建设,10,5.0,2.0,,,,0.0,,SaaS,,2020-05-15,0
教育培训/知识付费/内部培训/限时抢购/优惠券网站小程序,10,5.0,1.0,,,,0.0,,SaaS,,2020-06-11,0
DataSecurity Plus,10,0.0,0.0,,,,6468.0,,人工服务,7.0,2024-07-29,0
商家入驻服务-四川省+重庆+陕西省+云南省+贵州省,10,0.0,0.0,,,,100.0,,服务类,,2020-04-02,0
【数脉API】身份实名认证-身份实名认证-身份证实名认证-身份实名认证-身份证二要素验证-实名认证校验-...,25938,4.99,1288.0,8.6,5.0,100.0,2.0,"精选, 超优品",API,,,1
【公安直连】实名认证-实名认证接口-身份证实名认证接口-身份证认证-二要素实名认证-实名认证api-身份证...,17626,5.0,2821.0,8.4,75.0,100.0,0.01,"精选, 超优品",API,,2019-09-02,1
【2分】身份证实名认证-身份实名认证-身份证实名验证-身份证实名认证二要素核验-身份证实名认证-身份证二...,46969,5.0,1537.0,8.3,56.0,100.0,0.0,超优品,API,,,1
【双11-手机三要素】手机二要素-手机三要素查询-手机三-手机实名认证-手机二要素-手机三要素查询,40274,5.0,436.0,8.1,17.0,100.0,0.01,超优品,API,,,1
【高质量】身份证实名认证-身份实名认证-身份实名认证-实名认证-身份证二要素-身份实名认证-身份证实名认证...,35043,5.0,1078.0,8.3,2.0,100.0,0.0,超优品,API,,2024-07-16,1
身份实名认证-身份证实名认证-身份实名认证-身份证二要素-身份实名认证-身份证实名认证接口-身份证二要素...,42766,5.0,8482.0,7.9,49.0,100.0,0.0,优品,API,,2020-02-20,1
银行卡二三四要素-银行卡实名认证-银行卡四要素实名认证-银行卡三要素实名认证-银行卡二要素实名认证【官方...,24855,5.0,7051.0,7.5,74.0,100.0,0.01,优品,API,,2022-02-28,1
