Title,Categories,Intro,Merchant,Delivery Type,Transaction Number,Rating Count,Product Score,Price Number,Price Unit,Price Others
华为云SparkPack 企业ERP 标准化服务,"['华为商品', '信息化管理', '']","SparkPack 企业ERP 解决方案实施服务, 是商品《SparkPack 企业ERP》软件商品的配套服务上架商品",华为云计算技术有限公司,人工服务,413,0,,102000,￥,/次
上云SD-WAN服务,"['联营商品', '智能制造', '教育', '', '', '', '']",上云SD-WAN服务在华为SDWAN技术基础上，兼容MPLS VPN、Internet、MSTP、5G通过光联高速骨干，实现企业分支之间、分支与华为云的全托管云网组网服务.,深圳市光联世纪信息科技有限公司,人工服务,154,0,,800,￥,/月
上云SD-WAN服务与路由器组合套餐,"['组合购商品', '工业互联网', '']",上云SD-WAN服务在华为SDWAN技术基础上，兼容MPLS VPN、Internet、MSTP、5G通过光联高速骨干，实现企业分支之间、分支与华为云的全托管云网组网服务。,华为云计算技术有限公司,人工服务,0,0,,800,￥,/起
华为云企业邮箱,"['华为商品', '个人网站']",华为云企业邮箱通信全新体验，助力数字化协同办公与企业管理。免费试用订单到期前，如您满意可以在订单详情选择转商用；如您试用订单到期后未转商用，则试用订单数据将彻底删除。,华为云计算技术有限公司,SaaS,31406,18,5,0,￥,/试用15天
华为云新零售解决方案-专家服务,"['华为商品', '零售管理', '智慧零售']",围绕华为云新零售解决方案整体项目交付，基于华为云自身专业实践，为企业提供端到端交付的专家服务，助力企业发展。,华为云计算技术有限公司,人工服务,1,0,,10000,￥,/次
5G消息云服务,"['华为商品', '视频']",5G消息云服务为企业提供多样化的通信服务。基础版用于验证码、通知类等文本短信；标准版适用于企业富媒体营销场景；增强版适用于智能交互、大容量信息的宣传场景。增强版正在构建中。,华为技术有限公司,SaaS,603,0,,按需,,
华为云大赛服务,"['华为商品', '教育']",面向华为云各技术领域，提供平台、赛题、专家、运营、营销全流程办赛服务。实现以赛促产，以赛促学，以赛促建，提升品牌影响力。,华为云计算技术有限公司,人工服务,15,0,,500000,￥,/次
华为云新零售白酒和快消行业解决方案,"['组合购商品', '智慧零售', '']",华为云新零售白酒和快消行业解决方案，支撑白酒和快消行业品牌商铺货到消费者购买业务闭环，助力企业实现库存透明化、动销一体化、渠道统一化的数字化变革。,华为云计算技术有限公司,人工服务,0,0,,10000,￥,/起
OceanBase数据库软件,"['联营商品', '数据库管理', '']",OceanBase是一款自主研发的原生分布式数据库，连续10年稳定支撑双11，通过多租户、高压缩存储、多级弹性伸缩、HTAP等能力，在保障数据库高性能的同时，显著降低数据库的成本，致力于为企业核心系统提供稳定可靠的数据底座。,北京奥星贝斯科技有限公司,SaaS,520,0,,0,￥,/试用30天
天喻产品全生命周期管理系统IntePLM,"['联营商品', '安全生产', '', '', '', '']",IntePLM可基于鲲鹏云服务器进行部署，以知识技术化，技术标准化，标准流程化，流程规范化为设计理念，帮助企业建立基于业务链的产品销售、设计、制造、采购及服务一体化的信息化管理平台。,深圳天昱软件有限公司,License,27,0,,16800,￥,/次
开发者支持和数字化升级专家服务,"['华为商品', '政府行业', '', '', '', '']",为客户提供端到端的数字化转型以及国产化信创、智能化专家服务：提供鲲鹏适配、认证、开发支持；提供昇腾&AI咨询、训练、开发集成服务；提供鸿蒙适配、认证、开发支持；提供高斯数据库开发支持；提供基于华为云的开发者技术支持专家服务。,华为云计算技术有限公司,人工服务,507,0,,496000,￥,/次
工业软件云专业咨询服务,"['华为商品', '上云咨询', '教育', '', '', '', '', '']",针对工业企业在数字化转型、数据管理、MBSE应用等方面的机遇和挑战，参考华为及业界最佳实践，提供能力构建和咨询规划服务。,华为云计算技术有限公司,人工服务,67,0,,30000,￥,/次
SuperHarness-3D数字线束,"['联营商品', '智能制造', '', '']",SuperHarness是一款用于电气制造行业的一、二次导线CAD/CAM/CAPP软件系统，它以结构数据及电气数据为基础，完成导线的三维布线仿真，进而生成加工导线用数控代码，支撑导线的全自动预制，并形成工人安装、检修的指导SOP文件。,利驰软件（苏州）有限公司,License,2,0,,300000,￥,/年
比升中台全渠道运营管理软件配套服务,"['联营商品', '信息化管理', '', '', '']",比升中台全渠道运营管理软件基于中台架构打造的数字化全业务平台，提供电商、零售、分销、会员、结算一体化协同运营能力，以商品生命周期为主轴，通过全渠道运营能力提升成品流转效率，通过计划协同能力提升采销协同效率，持续构建企业产品力和供应链竞争。,上海比升互联网技术有限公司,人工服务,3,0,,6000,￥,/次
