Title,Intro,Delivery Type,Company,Price Number,Price Unit
天威诚信CA证书服务系统,天威诚信数字证书认证系统（下文简称“TOPCA”）是北京天威诚信电子商务服务有限公司自主开发的、享有完全自主知识产权的数字证书认证系统，支持多种安全的加密算法。TOPCA采用先进的设计模式并具有完善的功能，系统支持分布式部署和管理，可根据需要进行灵活扩展，以满足不同规模用户自主建立PKI/CA 平台的需求。,交付方式：镜像,北京天威诚信电子商务服务有限公司,0,元/月
安数云WEB应用防火墙,安数云WEB应用防火墙是北京安数云信息技术有限公司结合多年在应用安全领域理论研究与攻防实践经验积累的基础上，自主研发的新一代应用级综合防护系统。保护您的WEB网站免受众多已知或未知的应用层攻击，诸如SQL注入、XSS跨站、木马上传、CC攻击等。安数云WEB应用防火墙能够帮助用户解决目前所面临的各类常见及最新的应用安全问题，同时满足如等级保护、行业规范等政策法规的安全建设要求。,交付方式：镜像,北京安数云信息技术有限公司,0,元/月
安恒云堡垒机许可,安恒云堡垒机许可授权，高效运维、等保合规必备。买6个月送1个月，买1年送2个月，买2年送5个月。,交付方式：License,杭州安恒信息技术股份有限公司,800,元/月
网站无法访问|服务器故障排查|应用故障、负载异常排查|数据库故障排查,全方位的故障排查，针对服务器以及具体web应用，解决具体故障问题，提供优化方案和数据备份建议。 服务器、网站Web运行环境故障排查、 数据库无法连接， 网站无法访问/网站卡顿/CPU占用100%资源高负载跑满 磁盘IO、使用率异常排查 端口问题排查 （赠送安全检查及数据备份建议）,交付方式：人工服务,重庆方贸科技有限公司,300,元/次
私密众测,企业在火线平台开设私密众测项目，以对企业准备上线或已上线的重要产品或系统进行私密型安全测试；火线平台定向邀请在火线平台实名的安全专家参加项目，测试人员可信、测试过程可控、测试结束可溯源；合作方式灵活，可选结果制或项目制。 可测试的产品和系统包括Web安全（云安全）、移动安全（Android、iOS）、智能设备安全（可穿戴设备、智能家具、开源硬件等）... ...,交付方式：人工服务,北京安全共识科技有限公司,150000,元/次
安数云日志审计系统授权,产品介绍 安数云日志审计系统是安数云公司自主研发的拥有自主知识产权的专业日志安全审计产品，系统通过集中采集网络环境中的安全事件、用户行为日志、系统运行日志、系统状态日志、操作系统日志、信息系统操作日志等各类日志信息，经过统一的过滤、筛选、格式化、归一化等处理流程，最终以统一的日志形式进行集中存储和管理，同时结合相关的统计分析、关联分析等模块，对日志数据进行深度挖掘分析，以达到全面审计的目的。,交付方式：License,北京安数云信息技术有限公司,3800,元/月
安数云WEB应用防火墙授权,安数云WEB应用防火墙是北京安数云信息技术有限公司结合多年在应用安全领域理论研究与攻防实践经验积累的基础上，自主研发的新一代应用级综合防护系统。保护您的WEB网站免受众多已知或未知的应用层攻击，诸如SQL注入、XSS跨站、木马上传、CC攻击等。安数云WEB应用防火墙能够帮助用户解决目前所面临的各类常见及最新的应用安全问题，同时满足如等级保护、行业规范等政策法规的安全建设要求。,交付方式：License,北京安数云信息技术有限公司,2432,元/月
安数云网络入侵防御（NGIPS）授权,北京安数云信息技术有限公司基于当前网络安全的严峻形势，推出了安数云网络入侵防御系统（简称安数云IPS）。安数云IPS采用在线部署方式，能够实时检测和防御包括拒绝服务、缓冲区溢出、木马蠕虫、CMS、WEBSHELL等3000多种网络攻击行为，第一时间将安全威胁阻隔在企业网络之外。安数云IPS有力的弥补了防火墙和入侵检测系统的不足，其能自主的进行深度检测和自动防御，而不只是简单的告警等待用户处理。因此，安数云IPS能有效保护用户的网络资源，使其免收各种外部攻击，全面保证业务系统的健康运行。,交付方式：License,北京安数云信息技术有限公司,2432,元/月
漏洞安全防护,潍鲸科技提供系统漏洞修复、木马病毒清除、Webshell后门清除、挖矿病毒清除、网站篡改修复、安全基线检查配置、系统服务异常等防护，预防恶意攻击，将网络入侵事件、Webshell、恶意软件、核心数据被加密勒索、DDoS攻击事件、ECS恶意肉鸡等进行查杀。,交付方式：人工服务,北京潍鲸科技有限公司,1,元/次
FTP配置和用户管理,云服务器的FTP安装和配置，添加访问用户和目录访问权限。用户网站程序的上传和下载。,交付方式：人工服务,北京潍鲸科技有限公司,1,元/次
